NEIGHBORHOOD_NAME,COVID_CASE_COUNT,COVID_DEATH_COUNT
Bayside - Little Neck,1278,84
Bedford Stuyvesant - Crown Heights,5690,614
Bensonhurst - Bay Ridge,3180,340
Borough Park,8757,658
Canarsie - Flatlands,5242,511
Central Harlem - Morningside Height,3090,298
Chelsea - Clinton,2021,130
Coney Island - Sheepshead Bay,6197,713
Crotona - Tremont,5805,434
Downtown - Heights - Slope,2944,271
East Flatbush - Flatbush,6812,722
East Harlem,2642,294
East New York,4246,408
Flushing - Clearview,4505,557
Fordham - Bronx Park,7761,573
Fresh Meadows,2180,130
Gramercy Park - Murray Hill,1369,98
Greenpoint,2426,147
Greenwich Village - Soho,693,50
High Bridge - Morrisania,6193,554
Hunts Point - Mott Haven,4060,362
Jamaica,8891,761
Kingsbridge - Riverdale,2609,246
Long Island City - Astoria,3326,270
Lower Manhattan,513,46
Northeast Bronx,7224,638
Pelham - Throgs Neck,9304,644
Port Richmond,2141,102
Ridgewood - Forest Hills,5339,440
Rockaway,3853,470
South Beach - Tottenville,4672,197
Southeast Queens,6205,364
Southwest Queens,7476,530
Stapleton - St. George,3650,325
Sunset Park,1955,189
Union Square - Lower East Side,2105,238
Upper East Side,2518,222
Upper West Side,2463,266
Washington Heights - Inwood,5693,549
West Queens,15448,1310
Williamsburg - Bushwick,3662,364
Willowbrook,2557,170
