NEIGHBORHOOD_NAME,Latitude,Longitude
Bayside - Little Neck,40.758556,-73.765434
Bedford Stuyvesant - Crown Heights,41.64221,-73.92955
Bensonhurst - Bay Ridge,40.62296,-74.01183
Borough Park,40.62733,-73.99296
Canarsie - Flatlands,40.64255,-73.90231
Central Harlem - Morningside Height,40.80631,-73.95772
Chelsea - Clinton,40.745278,-74.002222
Coney Island - Sheepshead Bay,40.582,-73.942
Crotona - Tremont,40.8375,-73.895
Downtown - Heights - Slope,40.694,-73.986
East Flatbush - Flatbush,40.644,-73.93
East Harlem,40.795,-73.939
East New York,40.67,-73.89
Flushing - Clearview,40.7568,-73.8333
Fordham - Bronx Park,40.8538,-73.8727
Fresh Meadows,40.7335,-73.7801
Gramercy Park - Murray Hill,40.73816371,-73.97366277
Greenpoint,40.7305,-73.9515
Greenwich Village - Soho,40.735564,-74.002887
High Bridge - Morrisania,40.837,-73.929
Hunts Point - Mott Haven,40.81,-73.926
Jamaica,40.7027,-73.789
Kingsbridge - Riverdale,40.88616312,-73.9083297
Long Island City - Astoria,40.7644,-73.9235
Lower Manhattan,40.7209,-74.0007
Northeast Bronx,40.8448,-73.8648
Pelham - Throgs Neck,40.823,-73.82
Port Richmond,40.6355,-74.1255
Ridgewood - Forest Hills,40.71085,-73.897766
Rockaway,40.5927,-73.7978
South Beach - Tottenville,40.5904,-74.0668
Southeast Queens,40.742054,-73.769417
Southwest Queens,40.7103,-74.0167
Stapleton - St. George,40.6271,-74.0784
Sunset Park,40.6527,-74.0093
Union Square - Lower East Side,40.7342,-73.9875
Upper East Side,40.7736,-73.9566
Upper West Side,40.787,-73.9754
Washington Heights - Inwood,40.852,-73.936
West Queens,40.7513,-73.9467
Williamsburg - Bushwick,40.7085,-73.952
Willowbrook,40.6032,-74.1385
